Stock,Quarter,EPS
HINDUNILVR.NS,Dec 2020,8.24
HINDUNILVR.NS,Mar 2021,9.31
HINDUNILVR.NS,Jun 2021,8.92
HINDUNILVR.NS,Sep 2021,9.28
HINDUNILVR.NS,Dec 2021,9.78
HINDUNILVR.NS,Mar 2022,9.81
HINDUNILVR.NS,Jun 2022,10.13
HINDUNILVR.NS,Sep 2022,11.06
HINDUNILVR.NS,Dec 2022,10.53
HINDUNILVR.NS,Mar 2023,11.35
HINDUNILVR.NS,Jun 2023,10.13
HINDUNILVR.NS,Sep 2023,9.81
HINDUNILVR.NS,Dec 2023,9.78
HINDUNILVR.NS,Mar 2024,9.28
HINDUNILVR.NS,Jun 2024,8.92
HINDUNILVR.NS,Sep 2024,9.31
HINDUNILVR.NS,Dec 2024,8.24
HINDUNILVR.NS,Mar 2025,8.4
HINDUNILVR.NS,Jun 2025,8.08
HINDUNILVR.NS,Sep 2025,6.98
HINDUNILVR.NS,Dec 2025,7.51
